OBJECTID,NAME,PLZ,GPLZ,CANTON,CANTON_NR,BFSNR,CASES,SUBMISSIONS,FRACTION,POPULATION_AGGREGATED,SUBMISSIONS_PER_100K,CASES_PER_100K,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
120,Luins,1184,1184,VD,22,5858,0,0,0,970,0,0,7341896.50463867,14424.7824900341,3487592.53710938,9936.72665580831
121,Mont-sur-Rolle,1185,1185,VD,22,5859,0,0,0,2309,0,0,8099864.59985352,16068.3363866087,3843048.89233398,11065.0543381237
122,Essertines-sur-Rolle,1186,1186,VD,22,5856,0,0,0,551,0,0,13780444.4130859,21638.6201758404,6535933.71875,14906.0199763057
123,St-Oyens,1187,1187,VD,22,5436,0,0,0,425,0,0,6446353.40380859,13531.419447076,3056342.71044922,9319.8524369508
124,Gimel,1188,1188,VD,22,5428,0,0,0,3247,0,0,65671798.5065918,40348.1367869493,31101770.8564453,27769.7610038904
125,Saubraz,1189,1189,VD,22,5437,0,0,0,420,0,0,7752912.5859375,14876.7016148059,3672583.62011719,10239.2212282847
126,Dully,1195,1195,VD,22,5855,0,0,0,1143,0,0,28635076.2331543,28036.2800157497,13612378.7211914,19327.5137350426
127,Gland Distribution,1196,1196,VD,22,5721,0,1,0,13038,7.66989,0,36232414.7575684,28202.7336564848,17231805.0495605,19447.9086666069
128,Prangins,1197,1197,VD,22,5725,0,1,0,4053,24.67308,0,24346921.6037598,22530.0299662042,11586897.1318359,15540.8333737211
129,Genève,1201,1200,GE,25,6621,0,1,0,21954,4.55498,0,3683713.70410156,10051.2444066436,1764831.49853516,6959.00659893981
130,Genève,1202,1200,GE,25,6621,0,1,0,31340,3.19081,0,9278114.17749023,20912.3518913708,4443414.34106445,14473.5963966878
131,Genève,1203,1200,GE,25,6621,0,1,0,35483,2.81825,0,4262852.77612305,8505.9650411449,2042523.60864258,5889.32729182096
132,Genève,1204,1200,GE,25,6621,0,1,0,5065,19.74334,0,1970886.27001953,6898.29922607057,944516.173095703,4776.59277185081
133,Genève,1205,1200,GE,25,6621,0,1,0,35572,2.8112,0,3734655.14746094,11499.2786987523,1790184.42651367,7962.11013171129
134,Genève,1206,1200,GE,25,6621,0,1,0,21489,4.65354,0,3853315.41333008,10807.5059405887,1847521.73486328,7479.42007013362
135,Genève,1207,1200,GE,25,6621,1,1,1,17956,5.56917,5.56917,3902274.71313477,9150.37484049695,1869837.48242188,6335.5698942623
136,Genève,1208,1200,GE,25,6621,0,1,0,13852,7.21917,0,2389655.51879883,8720.60072905474,1145374.59204102,6037.32090006897
